n_jobs	ThreadPoolExecutor	ProcessPoolExecutor
1	1.3057301044464111	1.6548428535461426
2	1.7429890632629395	1.0395381450653076
3	2.098755121231079	1.3366425037384033
4	1.850006103515625	1.245894193649292
5	1.819331407546997	1.069770097732544
6	1.6647331714630127	1.2861032485961914
7	1.6286389827728271	1.396461009979248
8	1.5888261795043945	1.362804889678955
9	1.6414504051208496	1.2925336360931396
10	1.6160387992858887	1.5125360488891602
11	1.7859487533569336	1.668379306793213
12	1.7286970615386963	1.4568026065826416
13	1.7678978443145752	1.5730128288269043
14	1.7924840450286865	1.8267321586608887
15	1.890540361404419	1.6487774848937988
16	1.625274419784546	1.931628704071045
